Date	Temperature	Humidity	Wind.speed	Visibility	Dew.point.temperature
2017-12-04	-0.2	23	4.7	2000	-18.8
2017-12-04	-1.3	26	5.3	2000	-18.3
2017-12-04	-2.1	29	3.9	2000	-17.7
2017-12-04	-2.9	32	3.2	2000	-17.3
2017-12-04	-3.6	38	3	2000	-15.8
2017-12-04	-4.6	43	4.5	2000	-15.3
2017-12-04	-5.3	45	2.5	2000	-15.3
2017-12-04	-5.8	44	2.4	2000	-16.1
2017-12-05	-6.1	42	2.6	2000	-16.9
2017-12-05	-6.5	41	2.8	2000	-17.6
2017-12-05	-6.8	41	2.5	NA	-17.8
2017-12-05	-6.9	39	2	2000	-18.5
2017-12-05	-7.2	34	3	2000	-20.4
2017-12-05	-7.4	33	2.6	2000	-20.9
2017-12-05	-7.4	34	3.2	2000	-20.6
2017-12-05	-7.5	33	2.2	2000	-21
2017-12-05	-8.1	36	1.6	2000	-20.5
2017-12-05	-7.6	31	1.3	1974	-21.8
2017-12-05	-5.5	26	2.8	1967	-22
2017-12-05	-3.9	25	0	1959	-21
2017-12-05	-2.3	25	0	1962	-19.7
2017-12-05	-1.6	27	0	1955	-18.2
2017-12-05	-1.1	28	0	2000	-17.3
2017-12-05	-0.7	28	0	2000	-16.9
2017-12-05	-0.5	30	0	2000	-16
2017-12-05	-1.6	35	0	2000	-15.1
2017-12-05	-2.6	40	0	2000	-14.4
2017-12-05	-3.2	45	0	NA	-13.5
2017-12-05	-3.5	46	0	2000	-13.4
2017-12-05	-3.7	47	0	2000	-13.3
2017-12-05	-2.8	49	0	2000	-12
2017-12-05	-2.5	59	0	1210	-9.4
2017-12-06	-2.8	NA	0	331	-6.2
2017-12-06	-3	79	0	293	-6.1
2017-12-06	-3	79	0	1862	-6.1
2017-12-06	-3.2	78	0	1808	-6.4
2017-12-06	-3.4	75	0	1982	-7.2
2017-12-06	-3.6	76	0	1934	-7.2
2017-12-06	-3.7	NA	0	1864	-7.3
2017-12-06	-4.2	77	0	1741	-7.6
2017-12-06	-4.2	78	0	1518	-7.4
2017-12-06	-3.3	70	0	1324	-7.9
2017-12-06	-0.9	64	0	1224	-6.8
2017-12-06	1.6	57	NA	1261	-6
2017-12-06	2.4	52	0.9	1224	-6.4
2017-12-06	4.2	47	1.1	1469	-6.1
2017-12-06	5.5	34	1	1966	-9.1
2017-12-06	5.5	31	3.1	1968	-10.3
2017-12-06	5.3	37	2.9	2000	-8.2
2017-12-06	4.1	60	2.5	1565	-2.9
2017-12-06	1.7	90	1	66	0.2
2017-12-06	1.2	92	0.7	180	0
2017-12-06	1.2	94	0.6	228	0.3
2017-12-06	1.1	92	0.5	235	0
2017-12-06	1.3	92	0.6	233	0.1
2017-12-06	1.3	92	0.6	209	0.1
2017-12-07	1.4	92	0.5	240	0.2
2017-12-07	1.5	92	0.4	227	0.3
2017-12-07	1.4	92	0.7	168	0.2
2017-12-07	1.9	NA	1.4	218	0.5
2017-12-07	1.6	92	0.7	119	0.4
2017-12-07	1.5	92	1.1	175	0.3
2017-12-07	1	93	0.5	148	0
2017-12-07	0.3	93	0.5	173	-0.7
2017-12-07	-0.2	96	0.8	173	-0.7
2017-12-07	0.1	91	0.8	265	-1.1
2017-12-07	1.1	83	0.7	311	-1.4
2017-12-07	2.3	69	1.7	628	-2.8
2017-12-07	3.7	65	2.4	833	-2.2
2017-12-07	4.1	37	3.1	1767	-9.3
2017-12-07	4.4	36	2.7	1975	-9.4
2017-12-07	4	35	3.1	1962	-10.1
2017-12-07	3.2	38	2.9	1817	-9.7
2017-12-07	2.1	50	2	1434	-7.2
2017-12-07	0.7	46	2.7	1558	-9.6
2017-12-07	-0.4	47	2.5	1269	-10.3
2017-12-07	-1.4	47	2.5	1620	-11.2
2017-12-07	-2.2	46	2.2	1975	-12.2
2017-12-07	-2.7	48	2.6	1844	-12.2
2017-12-07	-3.2	50	2.1	1887	-12.1
2017-12-08	-3.5	49	2.6	1893	-12.6
2017-12-08	-3.7	50	2.5	1902	-12.6
2017-12-08	-4.3	53	1	1918	-12.4
2017-12-08	-4.8	52	1.6	1978	-13.1
2017-12-08	-5.3	53	2.4	1936	-13.4
2017-12-08	-5.8	56	2	1941	-13.1
2017-12-08	-6	56	3.5	1853	-13.3
2017-12-08	-6.5	57	0.8	1776	-13.6
2017-12-08	-7	59	0.8	1559	-13.6
2017-12-08	-6.7	50	0.9	1492	-15.4
2017-12-08	-5.3	44	2.8	1516	-15.6
2017-12-08	-3.7	39	1.4	1595	-15.6
2017-12-08	-2	30	1.4	1728	-17.3
2017-12-08	-1.7	28	1.8	1963	-17.8
2017-12-08	-1.3	27	3.1	1906	-17.9
2017-12-08	-0.8	26	3.3	1977	-17.9
2017-12-08	-1.1	24	3.4	2000	-19.1
2017-12-08	-2.4	30	2.7	2000	-17.6
2017-12-08	-3.1	33	1.2	2000	-17.1
2017-12-08	-3.3	35	1.1	2000	-16.6
2017-12-08	-3.3	34	1.5	2000	-16.9
2017-12-08	-3.3	35	0.5	2000	-16.6
2017-12-08	-3.4	39	1.2	2000	-15.4
2017-12-08	-3.5	43	0.9	2000	-14.3
2017-12-09	-3.5	48	0.9	1967	-12.9
2017-12-09	-4.1	49	0.6	2000	-13.2
2017-12-09	-4.7	50	0.7	1983	-13.5
2017-12-09	-4.3	47	0.6	1992	-13.9
2017-12-09	-4.3	49	0.7	2000	-13.4
2017-12-09	-4.7	49	0.8	1999	-13.8
2017-12-09	-5.1	53	0.9	1975	-13.2
2017-12-09	-5.5	56	0.8	1950	-12.9
2017-12-09	-5.4	56	0.7	1940	-12.8
2017-12-09	-4.7	48	1	1784	-14
2017-12-09	-2.2	42	1.3	1646	-13.4
2017-12-09	0	45	1.1	1500	-10.5
2017-12-09	2.4	40	0.8	1809	-9.8
2017-12-09	3.9	36	2	1702	-9.8
2017-12-09	4.7	32	2.2	1948	-10.6
2017-12-09	5.2	30	2	1963	-11
2017-12-09	4.4	33	1.6	1963	-10.5
2017-12-09	3.5	37	1.8	1963	-9.8
2017-12-09	2.5	41	1	1974	-9.4
2017-12-09	1.5	48	0.4	1878	-8.3
2017-12-09	0.8	51	1.4	1848	-8.2
2017-12-09	-0.1	55	0.7	1654	-8
2017-12-09	-0.5	55	0.6	1655	-8.4
2017-12-09	-0.1	54	1.3	1570	-8.3
2017-12-10	-0.2	55	1	1629	-8.1
2017-12-10	-0.2	54	0.5	1747	-8.4
2017-12-10	NA	52	0.7	1726	NA
2017-12-10	0.3	53	0.5	1748	-8.1
2017-12-10	0.4	52	1.6	1816	-8.3
2017-12-10	0.3	74	1	178	-3.7
2017-12-10	-0.5	90	0.9	91	-1.9
2017-12-10	-0.4	92	1.1	121	-1.5
2017-12-10	-0.2	90	1.2	378	-1.6
2017-12-10	0.2	90	1	305	-1.2
2017-12-10	0.5	91	0.4	143	-0.8
2017-12-10	0.9	92	0.9	137	-0.2
2017-12-10	2.3	88	0.3	245	0.5
2017-12-10	3.3	87	1.1	230	1.3
2017-12-10	4.2	85	0.7	325	1.8
2017-12-10	6.7	63	4.5	715	0.1
2017-12-10	5.4	71	3.5	622	0.5
2017-12-10	3.6	65	4.3	1061	-2.3
2017-12-10	2	61	3	2000	-4.7
2017-12-10	1.6	53	4	2000	-6.9
2017-12-10	0.6	57	3.9	1954	-6.9
2017-12-10	0	59	3	1862	-7
2017-12-10	-1	56	4.7	2000	-8.6
2017-12-10	-1.4	43	4.3	2000	-12.3
2017-12-11	-2.5	39	3.4	2000	-14.5
2017-12-11	-3.4	36	3.8	2000	-16.3
2017-12-11	-4.2	35	3.4	2000	-17.4
2017-12-11	-4.7	38	2.4	2000	-16.8
2017-12-11	-5.2	35	3.2	2000	-18.3
2017-12-11	-5.6	38	3.2	1974	-17.6
2017-12-11	-5.9	39	2.9	1979	-17.6
2017-12-11	-6	39	3.1	1996	-17.7
2017-12-11	-6	38	3.6	1994	-18
2017-12-11	-5.9	36	5.1	1941	-18.6
2017-12-11	-5.3	32	4.5	2000	-19.4
2017-12-11	-4.7	36	3.8	2000	-17.5
2017-12-11	-5.2	33	4.6	1973	-19
2017-12-11	-5.4	32	5.1	1986	-19.5
2017-12-11	-5.4	31	4.1	1945	-19.9
2017-12-11	-5.5	33	4.5	2000	-19.2
2017-12-11	-6	40	4	2000	-17.4
2017-12-11	-7.1	44	4.2	2000	-17.3
2017-12-11	-7.9	43	3.3	2000	-18.3
2017-12-11	-8.6	45	3.9	2000	-18.4
2017-12-11	-9.3	49	3.8	2000	-18
2017-12-11	-9.7	51	2.5	2000	-17.9
2017-12-11	-10.2	50	3	2000	-18.6
2017-12-11	-10.7	53	1.2	2000	-18.4
2017-12-12	-11	51	1.1	2000	-19.1
2017-12-12	-11.2	51	1.1	2000	-19.3
2017-12-12	-11.5	50	0.7	2000	-19.8
2017-12-12	-11.6	50	2.2	1995	-19.9
2017-12-12	-11.6	47	2.1	1982	-20.6
2017-12-12	-11.6	45	2.8	1951	-21.1
2017-12-12	-11.8	47	2.5	1973	-20.8
2017-12-12	-12.1	50	2.3	1929	-20.4
2017-12-12	-12.3	52	1.3	1914	-20.1
2017-12-12	-11.8	46	2.9	1956	-21.1
2017-12-12	-10.5	45	3.3	1855	-20.1
2017-12-12	-9.4	42	3.1	1815	-19.9
2017-12-12	-8.3	35	2.9	1967	-21
2017-12-12	-6.9	37	2.4	1955	-19.1
2017-12-12	-5.4	32	2	1930	-19.5
2017-12-12	-5.8	30	2.8	2000	-20.6
2017-12-12	-6	29	2.8	1983	-21.2
2017-12-12	-7	32	2.6	2000	-20.9
2017-12-12	-7.7	36	1	2000	-20.2
2017-12-12	-8.2	43	1.1	2000	-18.5
2017-12-12	-8.4	42	1	2000	-19
2017-12-12	-8.8	43	1.4	1999	-19.1
2017-12-12	-9	45	1.3	1999	-18.7
2017-12-12	-9.3	47	2.1	2000	-18.5
2017-12-13	-9.5	48	1.3	1996	-18.4
2017-12-13	-10.2	52	1.6	1997	-18.2
2017-12-13	-10.4	53	1.8	1949	-18.1
2017-12-13	-10.9	55	1.8	1913	-18.1
2017-12-13	-11.4	58	1.3	1907	-18
2017-12-13	-11.5	58	1.1	1923	-18.1
2017-12-13	-11.9	57	1.1	1974	-18.7
2017-12-13	-11.7	53	1.6	1998	-19.3
2017-12-13	-11.4	47	3.3	2000	-20.4
2017-12-13	-11.1	46	3.4	1981	-20.4
2017-12-13	-9.5	39	2.1	1875	-20.9
2017-12-13	-8.1	35	1.8	1806	-20.9
2017-12-13	-6.5	30	2.9	1945	-21.2
2017-12-13	-5.8	28	2.9	1887	-21.4
2017-12-13	-4.7	27	2.9	1883	-20.8
2017-12-13	-4.9	26	3.1	1887	-21.5
2017-12-13	-4.5	26	2.2	2000	-21.1
2017-12-13	-5.6	29	1.7	2000	-20.8
2017-12-13	-6.6	33	1.1	2000	-20.2
2017-12-13	-6.6	31	1.6	2000	-20.9
2017-12-13	NA	35	0.8	2000	-20.4
2017-12-13	-8.3	39	1	2000	-19.8
2017-12-13	-8.9	39	0.1	2000	-20.3
2017-12-13	-9.2	44	0.4	1978	-19.2
2017-12-14	-9.5	50	0.6	1953	NA
2017-12-14	-9.8	48	0.8	2000	-18.7
2017-12-14	-10.6	44	0.8	1903	-20.5
2017-12-14	NA	48	0.4	1651	-19.6
2017-12-14	-11	50	0.8	1718	-19.4
2017-12-14	-10.8	48	0.8	1648	-19.6
2017-12-14	-11	55	0.8	1541	-18.2
2017-12-14	-10.9	57	1.1	1387	-17.7
2017-12-14	-10.4	54	1.1	1432	-17.9
2017-12-14	-9.4	44	0.5	1680	-19.4
2017-12-14	-7.7	43	0.9	1555	-18.1
2017-12-14	-6.1	38	1	1587	-18.1
2017-12-14	-4.9	34	1.3	1768	-18.3
2017-12-14	-3.8	32	0.9	1827	-18.1
2017-12-14	-2.7	28	0.7	1857	-18.7
2017-12-14	-2.5	29	1.1	1667	-18.1
2017-12-14	-2.4	28	0.9	1878	-18.4
2017-12-14	-2.9	31	0.6	1723	-17.7
2017-12-14	-3.5	35	1.1	1414	-16.7
2017-12-14	-4.2	40	0.9	1216	-15.8
2017-12-14	-4.8	43	1.1	1397	-15.4
2017-12-14	-4.8	45	0.8	1351	-14.9
2017-12-14	-4.9	44	1.1	1369	-15.3
2017-12-14	-5.6	53	1.2	1290	-13.6
2017-12-15	-5.7	53	0.6	1262	-13.7
2017-12-15	-6.3	57	0.4	1148	-13.4
2017-12-15	-6.8	58	0.4	1089	-13.6
2017-12-15	-6.9	56	0.5	1111	-14.2
2017-12-15	-7.1	59	0.8	1058	-13.7
2017-12-15	-7.5	64	0.9	989	-13.1
2017-12-15	-7.4	64	0.7	906	-13
2017-12-15	-7	63	0.6	865	-12.8
2017-12-15	-6.6	64	1.1	791	-12.2
2017-12-15	-5.9	60	0.6	691	-12.4
2017-12-15	-4.6	52	0.8	648	-12.9
2017-12-15	-2.9	46	1	809	-12.9
2017-12-15	-2.5	43	0.7	895	-13.3
2017-12-15	-1.6	40	0.3	868	-13.4
2017-12-15	-0.7	39	0.8	826	-12.9
2017-12-15	0.1	35	1.5	946	-13.5
2017-12-15	0	37	0.6	994	-12.9
2017-12-15	-0.2	39	0.8	1016	-12.5
2017-12-15	0.1	43	0.9	1485	-11
2017-12-15	0.6	41	1.2	1550	-11.1
2017-12-15	0.9	42	1.2	1113	-10.5
2017-12-15	0.7	47	2.7	1283	-9.3
2017-12-15	-0.1	49	2	870	-9.5
2017-12-15	-1.3	60	2.5	792	-8
2017-12-16	-2.6	73	3.4	787	-6.7
2017-12-16	-3.4	76	2.9	582	-7
2017-12-16	-4.1	73	2.1	567	-8.2
2017-12-16	-4.5	71	1.6	651	-8.9
2017-12-16	-5	70	2.7	702	-9.6
2017-12-16	-5.6	72	2	662	-9.8
2017-12-16	-6.1	69	2.9	765	-10.8
2017-12-16	-6.7	64	2.1	977	-12.3
2017-12-16	-7.3	62	2.6	1112	-13.3
2017-12-16	-7.2	47	2.8	1724	-16.6
2017-12-16	-6.2	42	2.3	1893	-17
2017-12-16	-5.2	30	4	1991	-20.1
2017-12-16	-4.1	28	3.8	1998	-19.9
2017-12-16	-3.7	23	4	1980	-21.8
2017-12-16	-3.4	22	4.3	1966	-22.1
2017-12-16	-3.3	22	5	2000	-22
2017-12-16	-3.3	24	3.5	2000	-21
2017-12-16	-4.6	26	2.6	2000	-21.2
2017-12-16	-5.3	28	3.5	2000	-21
2017-12-16	-6	32	2.4	2000	-20
2017-12-16	-6.6	37	3.4	2000	-18.9
2017-12-16	-7.1	39	3.2	2000	-18.7
2017-12-16	-7.6	41	1.6	2000	NA
2017-12-16	-8	41	2.2	2000	-18.9
2017-12-17	-8.1	41	2	2000	-19
2017-12-17	-8.4	40	1.6	2000	-19.6
2017-12-17	-8.7	40	2.8	2000	-19.8
2017-12-17	-9	40	3.1	2000	-20.1
2017-12-17	-9.5	40	1.9	2000	-20.6
2017-12-17	-9.7	41	3.1	2000	-20.5
2017-12-17	-9.9	42	2.3	2000	-20.4
2017-12-17	-10.2	42	2.3	2000	-20.6
2017-12-17	-10.7	43	NA	2000	-20.8
2017-12-17	-10.5	38	1.1	1950	-22.1
2017-12-17	-8.5	31	1.5	1997	-22.6
2017-12-17	-7.2	29	1.8	1926	-22.2
2017-12-17	-4.9	25	2.6	1966	-21.9
2017-12-17	-4.5	25	3.2	1989	-21.6
2017-12-17	-3.2	26	3.1	1933	-20
2017-12-17	-2.5	28	2	2000	-18.5
2017-12-17	-2.7	31	2.3	2000	-17.5
2017-12-17	-3.8	35	2.4	2000	-17
2017-12-17	-4.7	37	1.8	2000	-17.2
2017-12-17	-5.6	39	1.1	2000	-17.3
2017-12-17	-6	42	0.8	2000	-16.8
2017-12-17	-6.5	45	0.7	2000	-16.4
2017-12-17	-6.6	50	0.6	1990	-15.3
2017-12-17	-6.9	53	0.7	2000	-14.8
2017-12-18	-5.9	50	0.6	2000	-14.6
2017-12-18	-5.3	48	0.4	1664	-14.6
2017-12-18	-5	65	0.4	990	-10.5
2017-12-18	-5.3	76	1	767	-8.8
2017-12-18	-5.4	81	0.7	270	-8.1
2017-12-18	-5.3	81	0.9	923	-8
2017-12-18	-5.2	85	0.9	271	-7.3
2017-12-18	-5	85	0.7	186	-7.1
2017-12-18	-4.6	86	1.2	508	-6.5
2017-12-18	NA	89	1	59	-5.8
2017-12-18	-3.7	87	1	541	-5.5
2017-12-18	-2.9	85	1.2	243	-5
2017-12-18	-1.8	83	1.2	351	-4.3
2017-12-18	-0.9	84	1.2	333	-3.2
2017-12-18	0.5	76	0.9	364	-3.2
2017-12-18	1.6	73	0.9	421	-2.7
2017-12-18	1.8	76	0.8	410	-1.9
2017-12-18	0.4	84	0.8	317	-1.9
2017-12-18	0	88	0.6	277	-1.7
2017-12-18	1.3	65	1.1	1122	-4.5
2017-12-18	3.3	65	3.2	1172	-2.6
2017-12-18	2.8	73	2.4	831	-1.5
2017-12-18	1.5	82	2.4	537	-1.2
2017-12-18	0.1	81	2.9	551	-2.7
2017-12-19	-1	73	2.3	881	-5.2
2017-12-19	-2	72	0.8	979	-6.3
2017-12-19	-2.7	72	0.9	990	-7
2017-12-19	-2.8	NA	1.6	1315	-9.9
2017-12-19	-2.9	59	1.8	1286	-9.8
2017-12-19	-3.9	66	0.7	1209	-9.3
2017-12-19	-4.3	70	1.6	1169	-8.9
2017-12-19	-4.4	64	2.8	1367	-10.1
2017-12-19	-5.2	58	2.2	1594	-12.1
2017-12-19	-5.3	48	2.6	1810	-14.6
2017-12-19	-4.6	41	2.8	1815	-15.8
2017-12-19	-3.5	35	2.2	1742	-16.7
2017-12-19	-2.5	31	2.6	1778	-17.3
2017-12-19	-2.2	25	3.2	1970	-19.6
2017-12-19	-2.2	23	3.7	1971	-20.5
2017-12-19	-1.3	26	3	2000	-18.3
2017-12-19	-1.8	31	3.1	1993	-16.7
2017-12-19	-2.7	35	1.8	2000	-16
2017-12-19	-3.8	42	3.3	2000	-14.8
2017-12-19	-4.5	51	2	2000	-13.1
2017-12-19	-4.9	55	2	2000	-12.5
2017-12-19	-5	57	1.9	2000	-12.2
2017-12-19	NA	56	1.5	2000	-12.9
2017-12-19	-5.8	57	1.7	2000	-12.9
2017-12-20	-6.5	63	1.5	1666	-12.3
2017-12-20	-7.3	67	1.1	1593	-12.3
2017-12-20	-7.8	68	0.9	1642	-12.6
2017-12-20	-8.1	70	1.3	1557	-12.6
2017-12-20	-8.5	73	1	1723	-12.4
2017-12-20	-8.3	NA	0.9	1566	-13.3
2017-12-20	-8.2	66	0.9	1718	-13.4
2017-12-20	-8.1	67	0.9	1737	-13.1
2017-12-20	NA	65	1.1	1738	-13.2
2017-12-20	-6.7	62	1.1	1749	-12.7
2017-12-20	-5.4	56	1.1	1751	-12.8
2017-12-20	-4.2	51	1.1	1772	-12.8
2017-12-20	-3.2	49	1.3	1723	-12.4
2017-12-20	NA	43	1	1777	-12.3
2017-12-20	-0.5	44	1	1793	-11.2
2017-12-20	-0.2	45	1	1852	-10.7
2017-12-20	-0.5	48	1.1	1722	-10.1
2017-12-20	-0.9	70	1.1	299	-5.6
2017-12-20	-1.4	79	1.6	702	-4.5
2017-12-20	-1.5	81	1.8	751	-4.3
2017-12-20	-1.9	86	0.9	700	-3.9
2017-12-20	-2	83	1.2	904	-4.5
2017-12-20	-1.6	82	0.4	929	-4.2
2017-12-20	-1.1	87	1.4	349	-2.9
2017-12-21	-1.3	90	2	259	-2.7
2017-12-21	-1.8	90	1.6	263	-3.2
2017-12-21	-2.2	88	1.4	348	-3.9
2017-12-21	-2.9	89	1.3	288	NA
2017-12-21	-3.6	91	1.2	241	-4.8
2017-12-21	-4.3	91	1.5	233	-5.5
2017-12-21	-4.8	91	1.1	266	-6
2017-12-21	-5.3	90	1.1	311	-6.6
2017-12-21	-5.6	89	0.9	371	-7.1
2017-12-21	-5.3	88	0.4	463	-6.9
2017-12-21	-3	71	0.7	608	-7.5
2017-12-21	-0.7	62	0.7	519	-7
2017-12-21	1.9	40	2	1835	-10.3
2017-12-21	3.2	42	1.8	1349	-8.5
2017-12-21	4.3	47	2.3	953	-6
2017-12-21	4.4	46	1.4	1113	-6.2
2017-12-21	4.1	51	1.8	1112	-5.1
2017-12-21	2.9	60	1.3	1193	-4.1
2017-12-21	1.7	64	1.3	1140	-4.3
2017-12-21	NA	71	0.9	923	-3.8
2017-12-21	NA	72	0.7	990	-4.2
2017-12-21	-0.4	74	0.6	1065	-4.4
2017-12-21	-1.1	78	0.6	865	-4.4
2017-12-21	-1.5	79	0.6	821	-4.6
2017-12-22	-1.7	79	0.5	794	-4.8
2017-12-22	-1.6	79	0.6	784	-4.7
2017-12-22	-1.1	79	0.7	736	-4.2
2017-12-22	-0.6	76	0.5	789	-4.3
2017-12-22	-0.3	76	0.9	760	-4
2017-12-22	-0.2	73	0.8	880	-4.4
2017-12-22	-0.1	71	0.8	895	-4.7
2017-12-22	-0.3	72	0.7	919	-4.7
2017-12-22	-0.4	69	0.5	904	-5.4
2017-12-22	0.3	67	0.7	897	-5.1
2017-12-22	1.4	64	1	897	-4.6
2017-12-22	3.1	57	0.8	804	-4.6
2017-12-22	4.5	56	0.8	836	-3.5
2017-12-22	5.4	55	1.2	820	-2.9
2017-12-22	5.9	55	0.6	779	-2.4
2017-12-22	6.5	55	0.9	801	-1.9
2017-12-22	6	58	0.7	732	-1.6
2017-12-22	5.4	61	1.3	691	-1.5
2017-12-22	4.9	63	0.6	677	-1.5
2017-12-22	5.2	64	0.7	691	-1
2017-12-22	5.9	67	1.3	779	0.2
2017-12-22	NA	70	2.2	763	1
2017-12-22	6.1	70	2.7	806	1
2017-12-22	5.8	74	2.5	832	1.5
2017-12-23	5.8	75	1.9	788	1.7
2017-12-23	5.7	75	1.7	706	1.6
2017-12-23	5.6	76	1.6	641	1.6
2017-12-23	NA	77	1.6	583	1.6
2017-12-23	5.3	79	NA	506	1.9
2017-12-23	5	81	1.2	425	2
2017-12-23	5.1	81	1.3	375	2.1
2017-12-23	NA	82	0.7	334	2.2
2017-12-23	5.1	83	0.9	297	2.4
2017-12-23	5.2	84	0.7	226	2.7
2017-12-23	5.4	82	1.2	215	2.5
2017-12-23	5.7	81	1.1	192	2.6
2017-12-23	7	72	1.9	246	2.2
2017-12-23	7.7	68	1	249	2.1
2017-12-23	8.6	63	1.6	263	1.9
2017-12-23	8.6	64	1.5	269	2.1
2017-12-23	8.2	64	1	281	1.7
2017-12-23	7.7	67	0.9	264	1.9
2017-12-23	6.6	73	0.4	229	2
2017-12-23	6	76	1.1	219	2
2017-12-23	5.9	75	1.5	222	1.7
2017-12-23	5.6	77	0.9	212	1.8
2017-12-23	5.3	79	0.6	200	1.9
2017-12-23	5.5	80	0.6	185	2.3
2017-12-24	5.6	78	0.6	196	2
2017-12-24	5.6	78	0.5	197	2
2017-12-24	5.4	80	0.9	190	2.2
2017-12-24	5.2	82	0.8	190	2.3
2017-12-24	5.2	82	0.7	189	2.3
2017-12-24	5.1	82	0.6	185	2.2
2017-12-24	4.9	84	1.3	159	2.4
2017-12-24	4.7	89	1.1	100	3
2017-12-24	4.6	91	1.7	95	3.2
2017-12-24	4.6	94	0.9	90	3.7
2017-12-24	4.8	96	0.6	87	4.2
2017-12-24	4.6	95	0.8	156	3.8
2017-12-24	4.1	91	0.8	404	2.7
2017-12-24	3.7	90	0.7	744	2.2
2017-12-24	3.3	90	2.5	561	1.8
2017-12-24	2.9	90	2	380	1.4
2017-12-24	2.3	91	3.3	270	0.9
2017-12-24	2.2	86	NA	605	0
