Date_Hour;Date;Hour;Temperature;Humidity;Wind_speed;Visibility;Dew_point_temperature;Solar_Radiation;Rainfall;Snowfall
2017-12-01T18:00:00.000Z;2017-12-01;18;0.6;66;1.4;2000;-5;0;0;0
2017-12-01T19:00:00.000Z;2017-12-01;19;0;77;1.7;2000;-3.5;0;0;0
2017-12-01T20:00:00.000Z;2017-12-01;20;-0.3;79;1.5;1913;-3.5;0;0;0
2017-12-01T21:00:00.000Z;2017-12-01;21;-0.8;81;0.8;1687;-3.6;0;0;0
2017-12-01T22:00:00.000Z;2017-12-01;22;-0.9;83;1.5;1380;-3.4;0;0;0
2017-12-01T23:00:00.000Z;2017-12-01;23;-1.3;84;1;1265;-3.6;0;0;0
2017-12-02T00:00:00.000Z;2017-12-02;0;-1.8;87;1.1;994;-3.6;0;0;0
2017-12-02T01:00:00.000Z;2017-12-02;1;-2.2;86;0.6;990;-4.2;0;0;0
2017-12-02T02:00:00.000Z;2017-12-02;2;-2.9;86;1.5;1256;-4.9;0;0;0
2017-12-02T03:00:00.000Z;2017-12-02;3;-3.5;81;2.2;1221;-6.2;0;0;0
2017-12-02T04:00:00.000Z;2017-12-02;4;NA;79;2;1167;-6.9;0;0;0
2017-12-02T05:00:00.000Z;2017-12-02;5;-4;79;1.5;1202;-7.1;0;0;0
2017-12-02T06:00:00.000Z;2017-12-02;6;-4.3;82;2.1;1178;-6.9;0;0;0
2017-12-02T07:00:00.000Z;2017-12-02;7;-4.4;81;2.5;1276;-7.1;0;0;0
2017-12-02T08:00:00.000Z;2017-12-02;8;-4.2;79;2.1;1436;-7.3;0.01;0;0
2017-12-02T09:00:00.000Z;2017-12-02;9;-2.9;68;1.6;1487;-7.9;0.3;0;0
2017-12-02T10:00:00.000Z;2017-12-02;10;-0.4;57;1.6;1309;-7.8;0.8;0;0
2017-12-02T11:00:00.000Z;2017-12-02;11;1.9;49;1.8;1406;-7.7;1;0;0
2017-12-02T12:00:00.000Z;2017-12-02;12;4.3;41;1.3;1666;-7.8;1.09;0;0
2017-12-02T13:00:00.000Z;2017-12-02;13;6;36;1.8;1780;-7.9;1.12;0;0
2017-12-02T14:00:00.000Z;2017-12-02;14;7.3;35;1.3;1955;-7.1;0.99;0;0
2017-12-02T15:00:00.000Z;2017-12-02;15;7.6;41;2.3;1953;-4.8;0.74;0;0
2017-12-02T16:00:00.000Z;2017-12-02;16;6.4;48;2.6;1945;-3.8;0.22;0;0
2017-12-02T17:00:00.000Z;2017-12-02;17;6;51;2.5;1891;-3.3;0.06;0;0
2017-12-02T18:00:00.000Z;2017-12-02;18;5.5;53;1.5;1697;-3.3;0;0;0
2017-12-02T19:00:00.000Z;2017-12-02;19;5;52;2.3;1666;-4;0;0;0
2017-12-02T20:00:00.000Z;2017-12-02;20;4.6;51;1.2;1585;-4.6;0;0;0
2017-12-02T21:00:00.000Z;2017-12-02;21;4.1;55;1.2;1448;-4.1;0;0;0
2017-12-02T22:00:00.000Z;2017-12-02;22;3.5;54;1.5;1446;-4.9;0;0;0
2017-12-02T23:00:00.000Z;2017-12-02;23;4;56;1;1352;-4;0;0;0
2017-12-03T00:00:00.000Z;2017-12-03;0;4;58;1.4;1296;-3.5;0;0;0
2017-12-03T01:00:00.000Z;2017-12-03;1;3.9;69;1.7;485;-1.2;0;0;0
2017-12-03T02:00:00.000Z;2017-12-03;2;3.3;79;1.4;830;0;0;0;0
2017-12-03T03:00:00.000Z;2017-12-03;3;3.4;71;1.6;1011;-1.3;0;0.5;0
2017-12-03T04:00:00.000Z;2017-12-03;4;3.5;73;1;1060;-0.8;0;0;0
2017-12-03T05:00:00.000Z;2017-12-03;5;3.9;75;1.9;914;-0.1;0;0;0
2017-12-03T06:00:00.000Z;2017-12-03;6;3.4;86;2.5;278;1.2;0;1;0
2017-12-03T07:00:00.000Z;2017-12-03;7;3.1;NA;1.2;129;1.7;0;0;0
2017-12-03T08:00:00.000Z;2017-12-03;8;3.2;92;1.8;244;2;0;0;0
2017-12-03T09:00:00.000Z;2017-12-03;9;3.5;91;1.8;231;NA;0.02;2.5;0
2017-12-03T10:00:00.000Z;2017-12-03;10;4.4;89;2.2;257;2.7;0.24;0;0
2017-12-03T11:00:00.000Z;2017-12-03;11;5.1;87;1.4;321;3.1;0.25;0;0
2017-12-03T12:00:00.000Z;2017-12-03;12;5.8;85;1.7;349;3.4;0.43;0;0
2017-12-03T13:00:00.000Z;2017-12-03;13;6.8;81;1.9;390;3.7;0.6;0;0
2017-12-03T14:00:00.000Z;2017-12-03;14;7.6;76;1.2;422;3.6;0.69;0;0
2017-12-03T15:00:00.000Z;2017-12-03;15;8;73;1.6;433;3.4;0.53;0;0
2017-12-03T16:00:00.000Z;2017-12-03;16;7.6;77;1.6;399;3.8;0.2;0;0
2017-12-03T17:00:00.000Z;2017-12-03;17;6.7;82;1.5;358;3.8;0.05;0;0
2017-12-03T18:00:00.000Z;2017-12-03;18;6;84;1.9;327;3.4;0;0;0
2017-12-03T19:00:00.000Z;2017-12-03;19;5.7;85;1.7;309;3.3;0;0;0
2017-12-03T20:00:00.000Z;2017-12-03;20;5.2;87;1.4;253;3.2;0;0;0
2017-12-03T21:00:00.000Z;2017-12-03;21;4.7;87;1.2;247;2.7;0;0;0
2017-12-03T22:00:00.000Z;2017-12-03;22;4.3;89;1.8;201;2.6;0;0;0
2017-12-03T23:00:00.000Z;2017-12-03;23;3.9;90;1.3;194;2.4;0;0;0
2017-12-04T00:00:00.000Z;2017-12-04;0;4.2;88;0.6;216;2.3;0;0;0
2017-12-04T01:00:00.000Z;2017-12-04;1;4.3;87;0.5;221;2.3;0;0;0
2017-12-04T02:00:00.000Z;2017-12-04;2;4.4;87;1.8;207;2.4;0;0;0
2017-12-04T03:00:00.000Z;2017-12-04;3;3.6;85;2.3;206;1.3;0;0;0
2017-12-04T04:00:00.000Z;2017-12-04;4;2.8;89;1.5;130;1.1;0;0;0
2017-12-04T05:00:00.000Z;2017-12-04;5;2;83;2.7;253;-0.5;0;0;0
2017-12-04T06:00:00.000Z;2017-12-04;6;1.2;76;3.7;371;-2.5;0;0.1;0
2017-12-04T07:00:00.000Z;2017-12-04;7;0.2;68;3.4;702;-5;0;0;0
2017-12-04T08:00:00.000Z;2017-12-04;8;-0.8;69;3.5;954;NA;0.01;0;0
2017-12-04T09:00:00.000Z;2017-12-04;9;-1.5;47;4.2;1888;-11.3;0.22;0;0
2017-12-04T10:00:00.000Z;2017-12-04;10;-1.1;40;4.5;2000;-13;0.64;0;0
2017-12-04T11:00:00.000Z;2017-12-04;11;-0.5;41;4.1;1799;-12.1;0.94;0;0
2017-12-04T12:00:00.000Z;2017-12-04;12;-0.3;38;4.8;1823;-12.9;1.11;0;0
2017-12-04T13:00:00.000Z;2017-12-04;13;0;30;5.4;1938;-15.5;1.17;0;0
2017-12-04T14:00:00.000Z;2017-12-04;14;0.1;27;4.5;2000;-16.7;NA;0;0
2017-12-04T15:00:00.000Z;2017-12-04;15;-0.1;25;5.8;2000;-17.8;0.88;0;0
2017-12-04T16:00:00.000Z;2017-12-04;16;-0.2;23;4.7;2000;-18.8;0.55;0;0
2017-12-04T17:00:00.000Z;2017-12-04;17;-1.3;26;5.3;2000;-18.3;0.18;0;0
2017-12-04T18:00:00.000Z;2017-12-04;18;-2.1;29;3.9;2000;-17.7;0;0;0
2017-12-04T19:00:00.000Z;2017-12-04;19;-2.9;32;3.2;2000;-17.3;0;0;0
2017-12-04T20:00:00.000Z;2017-12-04;20;-3.6;38;3;2000;-15.8;0;0;0
2017-12-04T21:00:00.000Z;2017-12-04;21;-4.6;43;4.5;2000;-15.3;0;0;0
2017-12-04T22:00:00.000Z;2017-12-04;22;-5.3;45;2.5;2000;-15.3;0;0;0
2017-12-04T23:00:00.000Z;2017-12-04;23;-5.8;44;2.4;2000;-16.1;0;0;0
2017-12-05T00:00:00.000Z;2017-12-05;0;-6.1;42;2.6;2000;-16.9;0;0;0
2017-12-05T01:00:00.000Z;2017-12-05;1;-6.5;41;2.8;2000;-17.6;0;0;0
2017-12-05T02:00:00.000Z;2017-12-05;2;-6.8;41;2.5;NA;-17.8;0;0;0
2017-12-05T03:00:00.000Z;2017-12-05;3;-6.9;39;2;2000;-18.5;0;0;0
2017-12-05T04:00:00.000Z;2017-12-05;4;-7.2;34;3;2000;-20.4;0;0;0
2017-12-05T05:00:00.000Z;2017-12-05;5;-7.4;33;2.6;2000;-20.9;NA;0;0
2017-12-05T06:00:00.000Z;2017-12-05;6;-7.4;34;3.2;2000;-20.6;0;0;0
2017-12-05T07:00:00.000Z;2017-12-05;7;-7.5;33;2.2;2000;-21;0;0;0
2017-12-05T08:00:00.000Z;2017-12-05;8;-8.1;36;1.6;2000;-20.5;0.01;0;0
2017-12-05T09:00:00.000Z;2017-12-05;9;-7.6;31;1.3;1974;-21.8;0.21;0;0
2017-12-05T10:00:00.000Z;2017-12-05;10;-5.5;26;2.8;1967;-22;0.64;0;0
2017-12-05T11:00:00.000Z;2017-12-05;11;-3.9;25;0;1959;-21;NA;0;0
2017-12-05T12:00:00.000Z;2017-12-05;12;-2.3;25;0;1962;-19.7;0;0;0
2017-12-05T13:00:00.000Z;2017-12-05;13;-1.6;27;0;1955;-18.2;0;0;0
2017-12-05T14:00:00.000Z;2017-12-05;14;-1.1;28;0;2000;-17.3;0;0;0
2017-12-05T15:00:00.000Z;2017-12-05;15;-0.7;28;0;2000;-16.9;0;0;0
2017-12-05T16:00:00.000Z;2017-12-05;16;-0.5;30;0;2000;-16;0;0;0
2017-12-05T17:00:00.000Z;2017-12-05;17;-1.6;35;0;2000;-15.1;0;0;0
2017-12-05T18:00:00.000Z;2017-12-05;18;-2.6;40;0;2000;-14.4;0;0;0
2017-12-05T19:00:00.000Z;2017-12-05;19;-3.2;45;0;NA;-13.5;0;0;0
2017-12-05T20:00:00.000Z;2017-12-05;20;-3.5;46;0;2000;-13.4;0;0;0
2017-12-05T21:00:00.000Z;2017-12-05;21;-3.7;47;0;2000;-13.3;0;0;0
2017-12-05T22:00:00.000Z;2017-12-05;22;-2.8;49;0;2000;-12;0;0;0
2017-12-05T23:00:00.000Z;2017-12-05;23;-2.5;59;0;1210;-9.4;0;0;0
2017-12-06T00:00:00.000Z;2017-12-06;0;-2.8;NA;0;331;-6.2;0;0.1;0.1
2017-12-06T01:00:00.000Z;2017-12-06;1;-3;79;0;293;-6.1;0;0;0.3
2017-12-06T02:00:00.000Z;2017-12-06;2;-3;79;0;1862;-6.1;0;0;0.4
2017-12-06T03:00:00.000Z;2017-12-06;3;-3.2;78;0;1808;-6.4;0;0.2;0.4
2017-12-06T04:00:00.000Z;2017-12-06;4;-3.4;75;0;1982;-7.2;0;0;0.4
2017-12-06T05:00:00.000Z;2017-12-06;5;-3.6;76;0;1934;-7.2;0;0;0.4
2017-12-06T06:00:00.000Z;2017-12-06;6;-3.7;NA;0;1864;-7.3;0;0;0.4
2017-12-06T07:00:00.000Z;2017-12-06;7;-4.2;77;0;1741;-7.6;NA;0;0.3
2017-12-06T08:00:00.000Z;2017-12-06;8;-4.2;78;0;1518;-7.4;0.01;0;NA
2017-12-06T09:00:00.000Z;2017-12-06;9;-3.3;70;0;1324;-7.9;0.25;0;0.2
2017-12-06T10:00:00.000Z;2017-12-06;10;-0.9;64;0;1224;-6.8;0.63;0;0.2
2017-12-06T11:00:00.000Z;2017-12-06;11;1.6;57;NA;1261;-6;0.93;0;0
2017-12-06T12:00:00.000Z;2017-12-06;12;2.4;52;0.9;1224;-6.4;1.08;NA;0
2017-12-06T13:00:00.000Z;2017-12-06;13;4.2;47;1.1;1469;-6.1;1.1;0;0
2017-12-06T14:00:00.000Z;2017-12-06;14;5.5;34;1;1966;-9.1;0.96;0;0
2017-12-06T15:00:00.000Z;2017-12-06;15;5.5;31;3.1;1968;-10.3;0.72;0;0
2017-12-06T16:00:00.000Z;2017-12-06;16;5.3;37;2.9;2000;-8.2;0.36;0;0
2017-12-06T17:00:00.000Z;2017-12-06;17;4.1;60;2.5;1565;-2.9;0.1;0;0
2017-12-06T18:00:00.000Z;2017-12-06;18;1.7;90;1;66;0.2;0;0.3;0.3
2017-12-06T19:00:00.000Z;2017-12-06;19;1.2;92;0.7;180;0;0;0;1
2017-12-06T20:00:00.000Z;2017-12-06;20;1.2;94;0.6;228;0.3;0;0;1
2017-12-06T21:00:00.000Z;2017-12-06;21;1.1;92;0.5;235;0;0;0.7;1
2017-12-06T22:00:00.000Z;2017-12-06;22;1.3;92;0.6;233;0.1;0;0;1
2017-12-06T23:00:00.000Z;2017-12-06;23;1.3;92;0.6;209;0.1;0;NA;1
2017-12-07T00:00:00.000Z;2017-12-07;0;1.4;92;0.5;240;0.2;0;0;0.9
2017-12-07T01:00:00.000Z;2017-12-07;1;1.5;92;0.4;227;0.3;0;0;0.9
2017-12-07T02:00:00.000Z;2017-12-07;2;1.4;92;0.7;168;0.2;0;0;0.9
2017-12-07T03:00:00.000Z;2017-12-07;3;1.9;NA;1.4;218;0.5;0;0;0.9
2017-12-07T04:00:00.000Z;2017-12-07;4;1.6;92;0.7;119;0.4;0;0;0.9
2017-12-07T05:00:00.000Z;2017-12-07;5;1.5;92;1.1;175;0.3;0;0;0.9
2017-12-07T06:00:00.000Z;2017-12-07;6;1;93;0.5;148;0;0;0;0.9
2017-12-07T07:00:00.000Z;2017-12-07;7;0.3;93;0.5;173;-0.7;0;0;0.9
2017-12-07T08:00:00.000Z;2017-12-07;8;-0.2;96;0.8;173;-0.7;0.01;0;0.8
2017-12-07T09:00:00.000Z;2017-12-07;9;0.1;91;0.8;265;-1.1;0.14;0;0.8
2017-12-07T10:00:00.000Z;2017-12-07;10;1.1;83;0.7;311;-1.4;0.41;0;0.7
2017-12-07T11:00:00.000Z;2017-12-07;11;2.3;69;1.7;628;-2.8;0.63;0;0.6
2017-12-07T12:00:00.000Z;2017-12-07;12;3.7;65;2.4;833;-2.2;0.98;0;0.3
2017-12-07T13:00:00.000Z;2017-12-07;13;4.1;37;3.1;1767;-9.3;1.14;0;0
2017-12-07T14:00:00.000Z;2017-12-07;14;4.4;36;2.7;1975;-9.4;1.04;0;0
2017-12-07T15:00:00.000Z;2017-12-07;15;4;35;3.1;1962;-10.1;0.84;0;0
2017-12-07T16:00:00.000Z;2017-12-07;16;3.2;38;2.9;1817;-9.7;0.51;0;0
2017-12-07T17:00:00.000Z;2017-12-07;17;2.1;50;2;1434;-7.2;0.15;0;0
2017-12-07T18:00:00.000Z;2017-12-07;18;0.7;46;2.7;1558;-9.6;0;0;0
2017-12-07T19:00:00.000Z;2017-12-07;19;-0.4;47;2.5;1269;-10.3;0;0;0
2017-12-07T20:00:00.000Z;2017-12-07;20;-1.4;47;2.5;1620;-11.2;0;0;0
2017-12-07T21:00:00.000Z;2017-12-07;21;-2.2;46;2.2;1975;-12.2;0;0;0
2017-12-07T22:00:00.000Z;2017-12-07;22;-2.7;48;2.6;1844;-12.2;0;0;0
2017-12-07T23:00:00.000Z;2017-12-07;23;-3.2;50;2.1;1887;-12.1;0;0;0
2017-12-08T00:00:00.000Z;2017-12-08;0;-3.5;49;2.6;1893;-12.6;0;0;0
2017-12-08T01:00:00.000Z;2017-12-08;1;-3.7;50;2.5;1902;-12.6;0;0;0
2017-12-08T02:00:00.000Z;2017-12-08;2;-4.3;53;1;1918;-12.4;0;0;0
2017-12-08T03:00:00.000Z;2017-12-08;3;-4.8;52;1.6;1978;-13.1;0;0;0
2017-12-08T04:00:00.000Z;2017-12-08;4;-5.3;53;2.4;1936;-13.4;0;0;0
2017-12-08T05:00:00.000Z;2017-12-08;5;-5.8;56;2;1941;-13.1;0;0;0
2017-12-08T06:00:00.000Z;2017-12-08;6;-6;56;3.5;1853;-13.3;0;0;0
2017-12-08T07:00:00.000Z;2017-12-08;7;-6.5;57;0.8;1776;-13.6;0;0;0
2017-12-08T08:00:00.000Z;2017-12-08;8;-7;59;0.8;1559;-13.6;0.01;0;0
2017-12-08T09:00:00.000Z;2017-12-08;9;-6.7;50;0.9;1492;-15.4;0.23;0;0
2017-12-08T10:00:00.000Z;2017-12-08;10;-5.3;44;2.8;1516;-15.6;0.63;0;0
2017-12-08T11:00:00.000Z;2017-12-08;11;-3.7;39;1.4;1595;-15.6;0.93;0;0
2017-12-08T12:00:00.000Z;2017-12-08;12;-2;30;1.4;1728;-17.3;1.14;0;0
2017-12-08T13:00:00.000Z;2017-12-08;13;-1.7;28;1.8;1963;-17.8;1.22;0;0
2017-12-08T14:00:00.000Z;2017-12-08;14;-1.3;27;3.1;1906;-17.9;1.12;0;0
2017-12-08T15:00:00.000Z;2017-12-08;15;-0.8;26;3.3;1977;-17.9;0.87;0;0
2017-12-08T16:00:00.000Z;2017-12-08;16;-1.1;24;3.4;2000;-19.1;0.56;0;0
2017-12-08T17:00:00.000Z;2017-12-08;17;-2.4;30;2.7;2000;-17.6;0.18;0;0
2017-12-08T18:00:00.000Z;2017-12-08;18;-3.1;33;1.2;2000;-17.1;0;0;0
2017-12-08T19:00:00.000Z;2017-12-08;19;-3.3;35;1.1;2000;-16.6;0;0;0
2017-12-08T20:00:00.000Z;2017-12-08;20;-3.3;34;1.5;2000;-16.9;0;0;0
2017-12-08T21:00:00.000Z;2017-12-08;21;-3.3;35;0.5;2000;-16.6;0;0;0
2017-12-08T22:00:00.000Z;2017-12-08;22;-3.4;39;1.2;2000;-15.4;0;0;0
2017-12-08T23:00:00.000Z;2017-12-08;23;-3.5;43;0.9;2000;-14.3;0;0;0
2017-12-09T00:00:00.000Z;2017-12-09;0;-3.5;48;0.9;1967;-12.9;0;0;0
2017-12-09T01:00:00.000Z;2017-12-09;1;-4.1;49;0.6;2000;-13.2;0;0;0
2017-12-09T02:00:00.000Z;2017-12-09;2;-4.7;50;0.7;1983;-13.5;0;0;0
2017-12-09T03:00:00.000Z;2017-12-09;3;-4.3;47;0.6;1992;-13.9;0;0;0
2017-12-09T04:00:00.000Z;2017-12-09;4;-4.3;49;0.7;2000;-13.4;0;0;0
2017-12-09T05:00:00.000Z;2017-12-09;5;-4.7;49;0.8;1999;-13.8;0;0;0
2017-12-09T06:00:00.000Z;2017-12-09;6;-5.1;53;0.9;1975;-13.2;0;0;0
2017-12-09T07:00:00.000Z;2017-12-09;7;-5.5;56;0.8;1950;-12.9;0;0;0
2017-12-09T08:00:00.000Z;2017-12-09;8;-5.4;56;0.7;1940;-12.8;0.01;0;0
2017-12-09T09:00:00.000Z;2017-12-09;9;-4.7;48;1;1784;-14;0.23;0;0
2017-12-09T10:00:00.000Z;2017-12-09;10;-2.2;42;1.3;1646;-13.4;0.61;0;0
2017-12-09T11:00:00.000Z;2017-12-09;11;0;45;1.1;1500;-10.5;0.89;0;0
2017-12-09T12:00:00.000Z;2017-12-09;12;2.4;40;0.8;1809;-9.8;1.05;0;0
2017-12-09T13:00:00.000Z;2017-12-09;13;3.9;36;2;1702;-9.8;1.13;0;0
2017-12-09T14:00:00.000Z;2017-12-09;14;4.7;32;2.2;1948;-10.6;1.06;0;0
2017-12-09T15:00:00.000Z;2017-12-09;15;5.2;30;2;1963;-11;0.84;0;0
2017-12-09T16:00:00.000Z;2017-12-09;16;4.4;33;1.6;1963;-10.5;0.4;0;0
2017-12-09T17:00:00.000Z;2017-12-09;17;3.5;37;1.8;1963;-9.8;0.1;0;0
2017-12-09T18:00:00.000Z;2017-12-09;18;2.5;41;1;1974;-9.4;0;0;0
2017-12-09T19:00:00.000Z;2017-12-09;19;1.5;48;0.4;1878;-8.3;0;0;0
2017-12-09T20:00:00.000Z;2017-12-09;20;0.8;51;1.4;1848;-8.2;0;0;0
2017-12-09T21:00:00.000Z;2017-12-09;21;-0.1;55;0.7;1654;-8;0;0;0
2017-12-09T22:00:00.000Z;2017-12-09;22;-0.5;55;0.6;1655;-8.4;0;0;0
2017-12-09T23:00:00.000Z;2017-12-09;23;-0.1;54;1.3;1570;-8.3;0;0;0
2017-12-10T00:00:00.000Z;2017-12-10;0;-0.2;55;1;1629;-8.1;0;0;0
2017-12-10T01:00:00.000Z;2017-12-10;1;-0.2;54;0.5;1747;-8.4;0;0;0
2017-12-10T02:00:00.000Z;2017-12-10;2;NA;52;0.7;1726;NA;0;0;0
2017-12-10T03:00:00.000Z;2017-12-10;3;0.3;53;0.5;1748;-8.1;0;0;0
2017-12-10T04:00:00.000Z;2017-12-10;4;0.4;52;1.6;1816;-8.3;0;0;0
2017-12-10T05:00:00.000Z;2017-12-10;5;0.3;74;1;178;-3.7;0;0;0.7
2017-12-10T06:00:00.000Z;2017-12-10;6;-0.5;90;0.9;91;-1.9;0;2.5;2.7
2017-12-10T07:00:00.000Z;2017-12-10;7;-0.4;92;1.1;121;-1.5;0;0;4
2017-12-10T08:00:00.000Z;2017-12-10;8;-0.2;90;1.2;378;-1.6;0;0;4.1
2017-12-10T09:00:00.000Z;2017-12-10;9;0.2;90;1;305;-1.2;0;1.6;4.3
2017-12-10T10:00:00.000Z;2017-12-10;10;0.5;91;0.4;143;-0.8;0;0;4.3
2017-12-10T11:00:00.000Z;2017-12-10;11;0.9;92;0.9;137;-0.2;0.03;0;3.9
2017-12-10T12:00:00.000Z;2017-12-10;12;2.3;88;0.3;245;0.5;0.28;0;3.1
2017-12-10T13:00:00.000Z;2017-12-10;13;3.3;87;1.1;230;1.3;0.54;0;2.1
2017-12-10T14:00:00.000Z;2017-12-10;14;4.2;85;0.7;325;1.8;0.65;0;1.4
2017-12-10T15:00:00.000Z;2017-12-10;15;6.7;63;4.5;715;0.1;0.35;0;1
2017-12-10T16:00:00.000Z;2017-12-10;16;5.4;71;3.5;622;0.5;0.2;0;0.5
2017-12-10T17:00:00.000Z;2017-12-10;17;3.6;65;4.3;1061;-2.3;0.03;0;0.4
2017-12-10T18:00:00.000Z;2017-12-10;18;2;61;3;2000;-4.7;0;0;0
2017-12-10T19:00:00.000Z;2017-12-10;19;1.6;53;4;2000;-6.9;0;0;0
2017-12-10T20:00:00.000Z;2017-12-10;20;0.6;57;3.9;1954;-6.9;0;0;0
2017-12-10T21:00:00.000Z;2017-12-10;21;0;59;3;1862;-7;0;0;0
2017-12-10T22:00:00.000Z;2017-12-10;22;-1;56;4.7;2000;-8.6;0;0;0
2017-12-10T23:00:00.000Z;2017-12-10;23;-1.4;43;4.3;2000;-12.3;0;0;0
2017-12-11T00:00:00.000Z;2017-12-11;0;-2.5;39;3.4;2000;-14.5;0;0;0
2017-12-11T01:00:00.000Z;2017-12-11;1;-3.4;36;3.8;2000;-16.3;0;0;0
2017-12-11T02:00:00.000Z;2017-12-11;2;-4.2;35;3.4;2000;-17.4;0;0;0
2017-12-11T03:00:00.000Z;2017-12-11;3;-4.7;38;2.4;2000;-16.8;0;0;0
2017-12-11T04:00:00.000Z;2017-12-11;4;-5.2;35;3.2;2000;-18.3;0;0;0
2017-12-11T05:00:00.000Z;2017-12-11;5;-5.6;38;3.2;1974;-17.6;0;0;0
2017-12-11T06:00:00.000Z;2017-12-11;6;-5.9;39;2.9;1979;-17.6;0;NA;0
2017-12-11T07:00:00.000Z;2017-12-11;7;-6;39;3.1;1996;-17.7;0;0;0
2017-12-11T08:00:00.000Z;2017-12-11;8;-6;38;3.6;1994;-18;0.01;0;0
2017-12-11T09:00:00.000Z;2017-12-11;9;-5.9;36;5.1;1941;-18.6;0.1;0;0
2017-12-11T10:00:00.000Z;2017-12-11;10;-5.3;32;4.5;2000;-19.4;0.62;0;0
2017-12-11T11:00:00.000Z;2017-12-11;11;-4.7;36;3.8;2000;-17.5;1;0;0
2017-12-11T12:00:00.000Z;2017-12-11;12;-5.2;33;4.6;1973;-19;1.26;0;0
2017-12-11T13:00:00.000Z;2017-12-11;13;-5.4;32;5.1;1986;-19.5;1.24;0;0
2017-12-11T14:00:00.000Z;2017-12-11;14;-5.4;31;4.1;1945;-19.9;1.13;0;0
2017-12-11T15:00:00.000Z;2017-12-11;15;-5.5;33;4.5;2000;-19.2;0.92;0;0
2017-12-11T16:00:00.000Z;2017-12-11;16;-6;40;4;2000;-17.4;0.55;0;0
2017-12-11T17:00:00.000Z;2017-12-11;17;-7.1;44;4.2;2000;-17.3;0.18;0;0
2017-12-11T18:00:00.000Z;2017-12-11;18;-7.9;43;3.3;2000;-18.3;0;0;0
2017-12-11T19:00:00.000Z;2017-12-11;19;-8.6;45;3.9;2000;-18.4;0;0;0
2017-12-11T20:00:00.000Z;2017-12-11;20;-9.3;49;3.8;2000;-18;0;0;0
2017-12-11T21:00:00.000Z;2017-12-11;21;-9.7;51;2.5;2000;-17.9;0;0;0
2017-12-11T22:00:00.000Z;2017-12-11;22;-10.2;50;3;2000;-18.6;0;0;0
2017-12-11T23:00:00.000Z;2017-12-11;23;-10.7;53;1.2;2000;-18.4;0;0;0
2017-12-12T00:00:00.000Z;2017-12-12;0;-11;51;1.1;2000;-19.1;0;0;0
2017-12-12T01:00:00.000Z;2017-12-12;1;-11.2;51;1.1;2000;-19.3;0;0;0
2017-12-12T02:00:00.000Z;2017-12-12;2;-11.5;50;0.7;2000;-19.8;0;0;0
2017-12-12T03:00:00.000Z;2017-12-12;3;-11.6;50;2.2;1995;-19.9;0;0;0
2017-12-12T04:00:00.000Z;2017-12-12;4;-11.6;47;2.1;1982;-20.6;0;0;0
2017-12-12T05:00:00.000Z;2017-12-12;5;-11.6;45;2.8;1951;-21.1;0;0;0
2017-12-12T06:00:00.000Z;2017-12-12;6;-11.8;47;2.5;1973;-20.8;0;0;0
2017-12-12T07:00:00.000Z;2017-12-12;7;-12.1;50;2.3;1929;-20.4;0;0;0
2017-12-12T08:00:00.000Z;2017-12-12;8;-12.3;52;1.3;1914;-20.1;0;0;0
2017-12-12T09:00:00.000Z;2017-12-12;9;-11.8;46;2.9;1956;-21.1;0.1;0;0
